Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Age_group
Single,General,1,Arts/Communication,1,Secondary Education,127.0,1,Basic Education,No Schooling/Primary,Elementary,Technicians,120.7,1,0,0,1,Female,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,20-22
Single,General,1,Social Sciences,1,Secondary Education,137.0,1,Basic Education,No Schooling/Primary,Service/Sales,Plant/Machine,137.4,1,0,0,1,Female,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,17-19
Single,General,2,Health/Medicine,1,Secondary Education,135.0,1,Basic Education,Secondary,Service/Sales,Clerical,127.3,1,0,0,1,Female,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,17-19
Single,General,1,Engineering/Tech,1,Secondary Education,137.0,1,Higher Education,Basic Education,Technicians,Service/Sales,136.3,1,0,0,1,Female,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,20-22
Single,General,1,Education,1,Secondary Education,140.0,1,Basic Education,Basic Education,Craft/Trade,Craft/Trade,124.6,1,0,0,1,Female,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,17-19
Single,General,3,Arts/Communication,1,Secondary Education,122.0,1,Secondary,Secondary,Elementary,Plant/Machine,120.3,0,0,0,1,Female,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,20-22
Single,General,4,Health/Medicine,1,Secondary Education,127.0,1,Secondary,No Schooling/Primary,Clerical,Craft/Trade,121.8,1,0,0,1,Female,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,20-22
Single,General,4,Health/Medicine,1,Secondary Education,142.0,1,Basic Education,Basic Education,Managers,Managers,125.5,1,0,0,1,Female,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,17-19
Single,General,4,Business/Economy,1,Secondary Education,125.0,1,Secondary,No Schooling/Primary,Clerical,Craft/Trade,114.9,1,0,0,1,Female,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,17-19
Single,General,1,Health/Medicine,1,Secondary Education,126.0,1,Basic Education,Basic Education,Technicians,Craft/Trade,123.9,0,0,0,1,Female,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,17-19
Single,General,1,Social Sciences,1,Secondary Education,151.0,1,Basic Education,No Schooling/Primary,Elementary,Elementary,157.0,1,0,1,1,Female,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,17-19
Single,General,2,Social Sciences,1,Secondary Education,115.0,1,Basic Education,No Schooling/Primary,Craft/Trade,Plant/Machine,116.4,1,0,0,1,Female,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,20-22
Single,General,1,Engineering/Tech,1,Secondary Education,138.0,1,Basic Education,Basic Education,Technicians,Technicians,131.0,1,0,0,1,Female,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,17-19
Single,General,1,Business/Economy,1,Secondary Education,135.0,1,Basic Education,Secondary,Elementary,Elementary,122.1,1,0,0,1,Female,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,20-22
Single,General,2,Health/Medicine,1,Secondary Education,127.0,1,Higher Education,Higher Education,Managers,Other,118.8,1,0,0,1,Male,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,17-19
Single,Transfer/Change,1,Agriculture,1,Higher Education,150.0,1,Higher Education,Higher Education,Clerical,Professionals,150.0,0,0,0,1,Male,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,20-22
Single,Transfer/Change,1,Arts/Communication,1,Secondary Education,125.0,1,Higher Education,Higher Education,Other,Professionals,130.0,1,0,0,1,Male,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,20-22
Single,General,1,Business/Economy,1,Secondary Education,143.0,1,Secondary,Secondary,Clerical,Agriculture/Fishery,138.8,0,0,0,0,Male,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,17-19
Single,General,1,Social Sciences,0,Secondary Education,138.0,1,Basic Education,Secondary,Elementary,Service/Sales,134.5,1,0,0,1,Female,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,17-19
Single,General,1,Business/Economy,0,Secondary Education,130.0,1,Higher Education,No Schooling/Primary,Technicians,Elementary,131.4,0,0,0,1,Male,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,30+
Single,Transfer/Change,1,Engineering/Tech,1,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Agriculture/Fishery,102.5,0,0,1,0,Male,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,30+
Single,Transfer/Change,1,Engineering/Tech,1,Basic Education,133.1,1,Other,No Schooling/Primary,Other,Other,128.8,1,0,0,1,Male,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,30+
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,140.0,1,No Schooling/Primary,No Schooling/Primary,Agriculture/Fishery,Agriculture/Fishery,122.9,0,0,0,1,Female,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,30+
Separated/Divorced/Widower,Transfer/Change,1,Business/Economy,0,Secondary Education,120.0,1,Basic Education,Basic Education,Elementary,Technicians,113.9,1,0,0,1,Female,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,30+
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,120.0,6,Higher Education,Higher Education,Technicians,Agriculture/Fishery,120.0,0,0,1,0,Female,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,20-22
Single,General,5,Arts/Communication,1,Secondary Education,126.0,1,Higher Education,Higher Education,Professionals,Professionals,121.1,0,0,1,1,Female,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,17-19
Single,General,2,Business/Economy,1,Secondary Education,133.0,1,Higher Education,Basic Education,Professionals,Craft/Trade,120.4,1,0,0,1,Female,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,20-22
Single,General,6,Health/Medicine,1,Secondary Education,103.0,1,Secondary,Higher Education,Professionals,Professionals,100.6,1,1,0,1,Female,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,20-22
Single,General,1,Arts/Communication,1,Secondary Education,120.0,1,Secondary,No Schooling/Primary,Service/Sales,Service/Sales,121.4,0,0,0,0,Female,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,20-22
Single,Transfer/Change,1,Business/Economy,0,Secondary Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,109.7,0,0,0,1,Female,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,26-29
Single,General,1,Business/Economy,0,Secondary Education,154.0,1,No Schooling/Primary,No Schooling/Primary,Clerical,Service/Sales,134.1,0,0,0,1,Female,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,23-25
Single,General,2,Social Sciences,1,Secondary Education,130.0,1,Basic Education,Basic Education,Elementary,Elementary,127.6,1,0,0,1,Female,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,17-19
Single,General,6,Health/Medicine,1,Secondary Education,132.0,1,No Schooling/Primary,Basic Education,Craft/Trade,Craft/Trade,132.4,1,0,0,1,Female,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,20-22
Single,Transfer/Change,1,Social Sciences,0,Higher Education,130.0,1,Secondary,Basic Education,Elementary,Elementary,133.4,0,0,0,1,Female,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,20-22
Single,General,1,Social Sciences,1,Secondary Education,139.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,126.1,0,0,0,1,Female,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,17-19
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,130.0,1,Basic Education,No Schooling/Primary,Elementary,Craft/Trade,113.5,0,0,0,1,Female,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,23-25
Single,General,1,Health/Medicine,1,Secondary Education,139.0,1,No Schooling/Primary,No Schooling/Primary,Agriculture/Fishery,Agriculture/Fishery,121.3,1,0,0,1,Female,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,17-19
Single,General,1,Arts/Communication,1,Secondary Education,127.0,1,Secondary,Basic Education,Craft/Trade,Craft/Trade,121.8,1,0,0,1,Female,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,20-22
Single,General,3,Engineering/Tech,1,Secondary Education,167.0,1,No Schooling/Primary,No Schooling/Primary,Unknown,Unknown,159.3,0,0,0,1,Female,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,17-19
Single,Transfer/Change,1,Business/Economy,0,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,120.0,0,0,0,1,Female,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,26-29
Single,General,1,Health/Medicine,1,Secondary Education,130.0,1,Secondary,Basic Education,Service/Sales,Service/Sales,129.1,1,0,0,1,Female,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,17-19
Married/Union,Other,1,Business/Economy,1,Higher Education,130.0,1,Secondary,Higher Education,Clerical,Technicians,130.0,0,0,0,1,Female,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,30+
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,129.0,1,Higher Education,Higher Education,Professionals,Professionals,155.3,1,0,0,1,Female,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,26-29
Single,General,1,Health/Medicine,1,Secondary Education,141.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Other,139.8,1,0,0,1,Female,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,17-19
Single,General,3,Arts/Communication,1,Secondary Education,125.0,1,No Schooling/Primary,No Schooling/Primary,Clerical,Elementary,115.2,1,0,0,1,Female,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,17-19
Single,General,2,Health/Medicine,1,Secondary Education,125.0,1,Basic Education,Basic Education,Elementary,Elementary,114.9,0,0,0,1,Female,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,17-19
Single,Transfer/Change,1,Social Sciences,1,Higher Education,130.0,1,Basic Education,Secondary,Elementary,Elementary,131.9,0,0,0,1,Female,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,20-22
Single,General,3,Arts/Communication,1,Secondary Education,133.0,1,Secondary,No Schooling/Primary,Clerical,Craft/Trade,126.0,1,0,0,1,Male,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,17-19
Single,General,1,Arts/Communication,1,Secondary Education,127.0,1,Secondary,Secondary,Technicians,Clerical,130.2,1,0,0,1,Male,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,17-19
Single,Transfer/Change,1,Arts/Communication,1,Secondary Education,116.0,1,Secondary,Secondary,Technicians,Technicians,120.9,0,0,0,1,Male,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,23-25
Separated/Divorced/Widower,Transfer/Change,1,Health/Medicine,1,Basic Education,133.1,1,Secondary,Secondary,Service/Sales,Service/Sales,126.0,1,0,0,1,Male,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,26-29
Single,General,3,Arts/Communication,1,Secondary Education,139.0,1,Basic Education,Basic Education,Service/Sales,Technicians,128.2,1,0,0,1,Male,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,17-19
Single,Transfer/Change,1,Agriculture,1,Higher Education,130.0,1,Basic Education,No Schooling/Primary,Elementary,Elementary,130.0,1,0,0,1,Male,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,23-25
Single,General,3,Business/Economy,1,Secondary Education,125.0,1,Secondary,No Schooling/Primary,Craft/Trade,Craft/Trade,120.1,0,0,1,1,Male,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,17-19
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,160.0,1,Basic Education,No Schooling/Primary,Craft/Trade,Other,100.0,0,0,0,1,Male,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,26-29
Single,General,1,Business/Economy,1,Secondary Education,148.0,1,No Schooling/Primary,No Schooling/Primary,Service/Sales,Service/Sales,134.0,0,0,0,1,Male,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,17-19
Single,General,1,Health/Medicine,1,Secondary Education,150.0,1,No Schooling/Primary,Basic Education,Plant/Machine,Clerical,130.8,0,0,0,1,Male,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,23-25
Single,General,1,Arts/Communication,1,Secondary Education,141.0,1,Basic Education,Basic Education,Service/Sales,Other,135.8,1,0,0,1,Male,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,17-19
Single,General,4,Business/Economy,1,Secondary Education,118.0,1,No Schooling/Primary,No Schooling/Primary,Service/Sales,Craft/Trade,111.7,1,0,0,1,Male,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,17-19
Single,General,2,Arts/Communication,1,Secondary Education,142.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,132.9,1,0,0,1,Male,0,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate,17-19
Single,General,3,Business/Economy,1,Secondary Education,120.0,1,Basic Education,Basic Education,Clerical,Craft/Trade,115.5,1,0,1,1,Male,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,17-19
Single,General,4,Business/Economy,1,Secondary Education,106.0,1,Basic Education,No Schooling/Primary,Craft/Trade,Craft/Trade,106.0,1,0,0,1,Male,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,20-22
Single,General,4,Arts/Communication,1,Secondary Education,121.0,1,Secondary,Basic Education,Elementary,Plant/Machine,120.3,1,0,1,1,Male,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,17-19
Single,General,4,Health/Medicine,1,Secondary Education,150.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,130.8,0,0,0,1,Male,1,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate,20-22
Married/Union,Transfer/Change,1,Social Sciences,0,Secondary Education,120.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Agriculture/Fishery,117.0,0,0,0,1,Male,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate,30+
Single,General,6,Education,1,Secondary Education,114.0,1,Basic Education,Basic Education,Elementary,Elementary,110.2,1,0,0,1,Male,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,20-22
Single,Transfer/Change,1,Business/Economy,0,Higher Education,140.0,1,Higher Education,Higher Education,Professionals,Professionals,155.7,1,0,0,1,Male,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,30+
Single,Transfer/Change,1,Agriculture,1,Higher Education,160.0,1,Higher Education,Higher Education,Clerical,Professionals,180.4,0,0,1,1,Male,0,24,0,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,23-25
Single,General,1,Business/Economy,1,Secondary Education,120.0,1,Basic Education,Basic Education,Clerical,Clerical,125.5,0,0,0,1,Male,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,17-19
Married/Union,Transfer/Change,1,Social Sciences,0,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Agriculture/Fishery,110.0,1,0,0,1,Female,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,30+
Single,Transfer/Change,1,Health/Medicine,1,Secondary Education,160.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Craft/Trade,161.0,1,0,0,1,Female,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,20-22
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,120.0,1,Secondary,Basic Education,Clerical,Service/Sales,100.0,0,0,0,1,Female,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,23-25
Single,General,1,Arts/Communication,1,Secondary Education,124.0,1,Basic Education,No Schooling/Primary,Clerical,Other,117.6,1,0,0,1,Male,0,20,0,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,20-22
Single,General,6,Business/Economy,1,Secondary Education,143.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,128.7,1,0,0,1,Male,0,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,23-25
Single,Transfer/Change,2,Engineering/Tech,1,Secondary Education,115.0,1,No Schooling/Primary,Basic Education,Elementary,Agriculture/Fishery,112.2,1,0,1,1,Male,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,17-19
Single,Transfer/Change,1,Health/Medicine,1,Secondary Education,133.1,1,Secondary,Secondary,Clerical,Other,100.8,0,0,0,1,Male,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,23-25
Single,General,2,Arts/Communication,1,Secondary Education,133.1,41,Basic Education,Secondary,Elementary,Elementary,105.0,1,0,0,0,Female,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,20-22
Single,Special/Island/Ordinance,1,Engineering/Tech,1,Secondary Education,133.1,41,Secondary,Secondary,Clerical,Clerical,100.0,0,0,0,1,Female,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,26-29
Married/Union,Transfer/Change,1,Education,1,Basic Education,133.1,1,No Schooling/Primary,Other,Other,Other,115.5,0,0,0,1,Female,0,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,30+
Married/Union,Transfer/Change,1,Social Sciences,0,Secondary Education,133.1,1,No Schooling/Primary,Basic Education,Elementary,Elementary,114.0,0,0,0,1,Female,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate,30+
Single,Special/Island/Ordinance,1,Engineering/Tech,1,Secondary Education,130.0,26,No Schooling/Primary,Higher Education,Elementary,Professionals,137.0,1,0,0,1,Male,0,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled,17-19
Single,General,5,Arts/Communication,1,Secondary Education,135.0,1,No Schooling/Primary,Secondary,Service/Sales,Service/Sales,124.9,1,0,0,1,Female,0,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,17-19
Single,General,5,Health/Medicine,1,Secondary Education,132.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Craft/Trade,120.3,1,0,0,1,Female,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate,17-19
Single,General,1,Engineering/Tech,1,Secondary Education,135.0,1,Secondary,Higher Education,Elementary,Managers,134.3,1,0,0,1,Female,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled,17-19
Single,General,4,Health/Medicine,1,Secondary Education,115.0,1,Higher Education,Higher Education,Professionals,Professionals,111.5,1,0,1,0,Female,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,17-19
